Name,Type,Assignment1,AssignmentType1,Assignment2,AssignmentType2,HoursWorkedPerWeek
Owen Moore,FullTime,99,EXAM,84,QUIZ,
David King,PartTime,73,PROJECT,93,QUIZ,11
Jack Wright,FullTime,93,QUIZ,86,EXAM,
Michael Brown,FullTime,84,QUIZ,84,PROJECT,
Emily Johnson,FullTime,85,PROJECT,85,EXAM,
Sophia Martinez,Online,72,QUIZ,82,HOMEWORK,
Zoe Phillips,FullTime,97,QUIZ,80,HOMEWORK,
James Garcia,FullTime,97,EXAM,86,EXAM,
Ella Hall,PartTime,75,EXAM,94,HOMEWORK,21
Amelia Lewis,Online,71,EXAM,82,EXAM,
Logan Reed,Online,75,PROJECT,94,PROJECT,
Chloe Bailey,FullTime,79,PROJECT,88,QUIZ,
Madison Scott,FullTime,91,QUIZ,76,HOMEWORK,
John Doe,FullTime,87,QUIZ,90,EXAM,
Henry Walker,Online,82,EXAM,84,HOMEWORK,
Charlotte Thompson,PartTime,83,PROJECT,99,HOMEWORK,25
Benjamin Torres,FullTime,91,HOMEWORK,82,PROJECT,
Lily Rodriguez,Online,79,PROJECT,88,PROJECT,
Isabella Young,FullTime,72,EXAM,99,PROJECT,
Ethan Hernandez,Online,81,HOMEWORK,73,QUIZ,
Olivia Davis,FullTime,75,PROJECT,94,HOMEWORK,
Scarlett Evans,Online,83,QUIZ,82,QUIZ,
Lucas Adams,PartTime,77,HOMEWORK,88,HOMEWORK,18
Daniel Wilson,Online,87,HOMEWORK,80,QUIZ,
Grace Turner,Online,77,EXAM,70,EXAM,
Sebastian Rivera,FullTime,88,QUIZ,91,PROJECT,
Jane Smith,Online,74,HOMEWORK,84,HOMEWORK,
Ava Lee,FullTime,100,HOMEWORK,93,EXAM,
Mason White,PartTime,88,HOMEWORK,75,EXAM,22
Noah Cruz,PartTime,90,EXAM,89,HOMEWORK,32
